No,Focal_Species,Non-focal_plant,Treatment,Exp,No_of_Root_Tips,Total_Mass_Exp_1,Root_Mass_Exp_1,Shoot_Mass_Exp_1,Plant_Height(mm)_Exp_1,RMF_Exp_1,Community_Rhizome_Exp_2,Notes,All_Focal_Shoot_Mass,focal_leaf_count,nf_leaf_count_1,nf_leaf_count_2
37,Pascopyrum smithii,none,PASM.Control.exp.one,One,9,0.0041,0.0014,0.0027,83.4,0.341463415,,,0.0027,2,,
38,Pascopyrum smithii,none,PASM.Control.exp.one,One,63,0.0139,0.0049,0.009,117,0.352517986,,,0.009,3,,
39,Pascopyrum smithii,none,PASM.Control.exp.one,One,78,0.0147,0.0052,0.0095,151.5,0.353741497,,,0.0095,2,,
40,Pascopyrum smithii,none,PASM.Control.exp.one,One,44,0.0112,0.004,0.0072,107.7,0.357142857,,,0.0072,2,,
41,Pascopyrum smithii,none,PASM.Control.exp.one,One,115,0.0124,0.0045,0.0079,107,0.362903226,,,0.0079,3,,
42,Pascopyrum smithii,none,PASM.Control.exp.one,One,55,0.0105,0.0041,0.0064,87.6,0.39047619,,,0.0064,2,,
43,Pascopyrum smithii,none,PASM.Control.exp.one,One,57,0.0133,0.0052,0.0081,122.5,0.390977444,,,0.0081,2,,
44,Pascopyrum smithii,none,PASM.Control.exp.one,One,69,0.0129,0.0056,0.0073,138,0.434108527,,,0.0073,2,,
45,Pascopyrum smithii,none,PASM.Control.exp.one,One,24,0.006,0.0046,0.0014,93,,,,0.0014,2,,
46,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.2016,5,6,3
47,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.1684,3,4,3
48,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,1,,0.124,,,
49,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,0,,0.1595,5,3,3
50,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,4,,0.2486,,,
51,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.091,2,4,
52,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.1796,3,6,5
53,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,8,,0.3568,7,5,
54,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.0875,3,8,3
55,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,3,,0.1113,,,
56,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.1586,4,5,5
57,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,4,,0.1571,,,
58,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.1559,4,5,3
59,Pascopyrum smithii,Intraspecific-induced P. smithii,PASM + 2 PASM induced by 2 PASM,Two,,,,,,,2,,0.2182,7,3,3
60,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,0,,0.1271,5,4,4
61,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,0,,0.1041,4,5,4
62,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,1,,0.1755,4,3,3
63,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,2,,0.1078,4,5,4
64,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,3,,0.1205,,,
65,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,3,,0.1213,5,7,3
66,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,0,,0.1554,5,5,5
67,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,1,,0.118,5,5,2
68,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,4,,0.1261,4,3,5
69,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,2,,0.0977,3,4,4
70,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,2,,0.2096,,,
71,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,2,,0.1484,,,
72,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,2,,0.2313,3,5,3
73,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by BRTE + 2 PASM,Two,,,,,,,0,,0.1421,,,
74,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by PASM + 2 PASM,Two,,,,,,,2,,0.2182,,,
75,Pascopyrum smithii,Intespecific-induced P. smithii,PASM + 2 PASM induced by PASM + 2 PASM,Two,,,,,,,,,,,,
76,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,0,,0.253,5,,
77,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.1996,4,,
78,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.1312,,5,
79,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,2,,0.158,7,,
80,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.3127,,,4
81,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.2878,5,,
82,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.1447,5,,
83,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,0,,0.2328,4,,
84,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.1635,5,,
85,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.3305,4,,
86,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,1,,0.0756,4,,
87,Pascopyrum smithii,none,PASM.Control.exp.two,Two,,,,,,,0,,0.023,3,,
