"","No.","Study","Study_location","Target_species","Target_life_history","Target_functional_group","Study_type","study_unit","Water_trt","Comp_trt","Response_unit","mean","se","std","N","Cntrl_Mean","Cntrl_STD","Cntrl_N","notes","LRR","LRR_var"
"12",8,"Bartelheimer et al. 2010","England, UK","Senecio jacobea","biennnial","dicot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",0.924170616,1.492890995,2.588235294,3,2.843601896,6.823529412,3,"",-1.12393009686881,4.53383224919359
"13",102,"Bornkamm et al. 1975","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Unknown","pots","Ambient","Full_Comp","Root_biomass",1.59,NA,0.033014708,7,1.72,0.023782301,7,"std imputed from F = 4.44",-0.0785902745932214,8.89037188614433e-05
"14",103,"Bornkamm et al. 1975","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Unknown","pots","Ambient","Root_Comp","Root_biomass",1.81,NA,0.022856337,7,1.72,0.023782301,7,"std imputed from F = 4.45",0.0510025544523728,5.00921845902292e-05
"15",104,"Bornkamm et al. 1975","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Unknown","pots","Ambient","Shoot_Comp","Root_biomass",1.32,NA,0.101583718,7,1.72,0.023782301,7,"std imputed from F = 4.46",-0.264692554227082,0.000873374182690405
"16",106,"Bornkamm et al. 1975","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Unknown","pots","Stress","Full_Comp","Root_biomass",1.58,NA,0.797965,7,1.77,0.209707859,7,"std imputed from F = 4.48",-0.113554699546862,0.0384434042355302
"17",107,"Bornkamm et al. 1975","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Unknown","pots","Stress","Root_Comp","Root_biomass",1.77,NA,0,7,1.77,0.209707859,7,"std imputed from F = 4.49",0,0.002005325331909
"18",108,"Bornkamm et al. 1975","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Unknown","pots","Stress","Shoot_Comp","Root_biomass",1.4,NA,0.09396494,7,1.77,0.209707859,7,"std imputed from F = 4.50",-0.234507309964525,0.00264886833112209
"19",110,"Bornkamm et al. 1975","Berlin, DE","Bromus erectus","perennial","monocot","Unknown","pots","Ambient","Full_Comp","Root_biomass",0.64,NA,0.210786216,7,1.47,0.004075717,7,"std imputed from F = 4.52",-0.831549503419064,0.0154973415075197
"20",111,"Bornkamm et al. 1975","Berlin, DE","Bromus erectus","perennial","monocot","Unknown","pots","Ambient","Root_Comp","Root_biomass",1.03,NA,0.06856901,7,1.47,0.004075717,7,"std imputed from F = 4.53",-0.355703598549101,0.000634214155145298
"21",112,"Bornkamm et al. 1975","Berlin, DE","Bromus erectus","perennial","monocot","Unknown","pots","Ambient","Shoot_Comp","Root_biomass",0.7,NA,0.195548658,7,1.47,0.004075717,7,"std imputed from F = 4.54",-0.741937344729377,0.011149575632254
"22",114,"Bornkamm et al. 1975","Berlin, DE","Bromus erectus","perennial","monocot","Unknown","pots","Stress","Full_Comp","Root_biomass",0.97,NA,0.053331452,7,0.76,0.014552084,7,"std imputed from F = 4.56",0.243977638217052,0.000484217562033442
"23",115,"Bornkamm et al. 1975","Berlin, DE","Bromus erectus","perennial","monocot","Unknown","pots","Stress","Root_Comp","Root_biomass",0.98,NA,0.124440055,7,0.76,0.014552084,7,"std imputed from F = 4.57",0.254234138384241,0.00235577956369688
"24",116,"Bornkamm et al. 1975","Berlin, DE","Bromus erectus","perennial","monocot","Unknown","pots","Stress","Shoot_Comp","Root_biomass",1.03,NA,0.06856901,7,0.76,0.014552084,7,"std imputed from F = 4.58",0.303995647943305,0.000685491106308316
"25",21,"Lamb et al. 2007","Alberta, CAN","Artemesia frigida","perennial","shrub","Outdoor","field plot","Ambient","Full_Comp","Shoot_biomass",0.014057693,0.033202285,0.075010101,7,0.052497103,0.015601509,7,"",-1.31758819670672,4.07998415308607
"26",22,"Lamb et al. 2007","Alberta, CAN","Artemesia frigida","perennial","shrub","Outdoor","field plot","Ambient","Root_Comp","Shoot_biomass",0.009086276,0.014779249,0.018734505,7,0.052497103,0.015601509,7,"",-1.75399284384356,0.619933010749124
"27",23,"Lamb et al. 2007","Alberta, CAN","Artemesia frigida","perennial","shrub","Outdoor","field plot","Ambient","Shoot_Comp","Shoot_biomass",0.023303947,0.03979597,0.005927571,7,0.052497103,0.015601509,7,"",-0.812135241755801,0.0218598941273275
"28",17,"Lamb et al. 2007","Alberta, CAN","Artemesia frigida","perennial","shrub","Outdoor","field plot","Stress","Full_Comp","Shoot_biomass",0.011051506,0.025269169,0.140644624,7,0.09284039,0.058500872,7,"",-2.128315073903,23.1936293767337
"29",18,"Lamb et al. 2007","Alberta, CAN","Artemesia frigida","perennial","shrub","Outdoor","field plot","Stress","Root_Comp","Shoot_biomass",0.009258395,0.015059782,0.014217485,7,0.09284039,0.058500872,7,"",-2.30535107467147,0.393602836570739
"30",19,"Lamb et al. 2007","Alberta, CAN","Artemesia frigida","perennial","shrub","Outdoor","field plot","Stress","Shoot_Comp","Shoot_biomass",0.045422168,0.103853423,0.005725373,7,0.09284039,0.058500872,7,"",-0.714881514358147,0.0589918835903826
"31",29,"Lamb et al. 2007","Alberta, CAN","Chenopodium leptophyllum","annual","dicot","Outdoor","field plot","Ambient","Full_Comp","Shoot_biomass",0.005577139,0.008022435,0.077330623,7,0.049406024,0.043015826,7,"",-2.18139643918825,27.5734467182091
"32",30,"Lamb et al. 2007","Alberta, CAN","Chenopodium leptophyllum","annual","dicot","Outdoor","field plot","Ambient","Root_Comp","Shoot_biomass",0.018029383,0.035500889,0.002371435,7,0.049406024,0.043015826,7,"",-1.00806954419276,0.110764087481679
"33",31,"Lamb et al. 2007","Alberta, CAN","Chenopodium leptophyllum","annual","dicot","Outdoor","field plot","Ambient","Shoot_Comp","Shoot_biomass",0.036092442,0.077189781,0.018599429,7,0.049406024,0.043015826,7,"",-0.313988879540751,0.146230070510859
"34",25,"Lamb et al. 2007","Alberta, CAN","Chenopodium leptophyllum","annual","dicot","Outdoor","field plot","Stress","Full_Comp","Shoot_biomass",0.019261451,0.037305283,0.138158472,7,0.092577868,0.116588519,7,"",-1.56994436558678,7.5764272286444
"35",26,"Lamb et al. 2007","Alberta, CAN","Chenopodium leptophyllum","annual","dicot","Outdoor","field plot","Stress","Root_Comp","Shoot_biomass",0.018635237,0.032149708,0.01891076,7,0.092577868,0.116588519,7,"",-1.60299585575195,0.373680990717031
"36",27,"Lamb et al. 2007","Alberta, CAN","Chenopodium leptophyllum","annual","dicot","Outdoor","field plot","Stress","Shoot_Comp","Shoot_biomass",0.098904331,0.215048236,0.013577002,7,0.092577868,0.116588519,7,"",0.0661029227725827,0.229260343327085
"37",36,"Salinger & Bornkamm 1982","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Outdoor","pots","Ambient","Root_Comp","Shoot:Root_ratio",0.930722892,NA,2.139814,15,0.668674699,NA,15,"Impute std",0.330663895185179,NA
"38",38,"Salinger & Bornkamm 1982","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Outdoor","pots","Ambient","Shoot_Comp","Shoot:Root_ratio",0.795180723,NA,2.139814,15,0.668674699,NA,15,"Impute std",0.173271721104094,NA
"39",40,"Salinger & Bornkamm 1982","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Outdoor","pots","Ambient","Full_Comp","Shoot:Root_ratio",0.786144578,NA,2.139814,15,0.668674699,NA,15,"Impute std",0.16184302474564,NA
"40",35,"Salinger & Bornkamm 1982","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Outdoor","pots","Stress","Root_Comp","Shoot:Root_ratio",1.111445783,NA,2.139814,15,0.984939759,NA,15,"Impute std",0.12083647306073,NA
"41",37,"Salinger & Bornkamm 1982","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Outdoor","pots","Stress","Shoot_Comp","Shoot:Root_ratio",0.858433735,NA,2.139814,15,0.984939759,NA,15,"Impute std",-0.13747099052173,NA
"42",39,"Salinger & Bornkamm 1982","Berlin, DE","Arrhenatherum elatius","perennial","monocot","Outdoor","pots","Stress","Full_Comp","Shoot:Root_ratio",0.903614458,NA,2.139814,15,0.984939759,NA,15,"Impute std",-0.0861776960176884,NA
"43",44,"Salinger & Bornkamm 1982","Berlin, DE","Bromus erectus","perennial","monocot","Outdoor","pots","Ambient","Root_Comp","Shoot:Root_ratio",0.614457831,NA,2.139814,15,0.614457831,NA,15,"Impute std",0,NA
"44",46,"Salinger & Bornkamm 1982","Berlin, DE","Bromus erectus","perennial","monocot","Outdoor","pots","Ambient","Shoot_Comp","Shoot:Root_ratio",0.605421687,NA,2.139814,15,0.614457831,NA,15,"Impute std",-0.0148150848378183,NA
"45",48,"Salinger & Bornkamm 1982","Berlin, DE","Bromus erectus","perennial","monocot","Outdoor","pots","Ambient","Full_Comp","Shoot:Root_ratio",0.930722892,NA,2.139814,15,0.614457831,NA,15,"Impute std",0.41522128404896,NA
"46",43,"Salinger & Bornkamm 1982","Berlin, DE","Bromus erectus","perennial","monocot","Outdoor","pots","Stress","Root_Comp","Shoot:Root_ratio",0.524096386,NA,2.139814,15,0.677710843,NA,15,"Impute std",-0.257045101565217,NA
"47",45,"Salinger & Bornkamm 1982","Berlin, DE","Bromus erectus","perennial","monocot","Outdoor","pots","Stress","Shoot_Comp","Shoot:Root_ratio",0.515060241,NA,2.139814,15,0.677710843,NA,15,"Impute std",-0.274436845080474,NA
"48",47,"Salinger & Bornkamm 1982","Berlin, DE","Bromus erectus","perennial","monocot","Outdoor","pots","Stress","Full_Comp","Shoot:Root_ratio",0.786144578,NA,2.139814,15,0.677710843,NA,15,"Impute std",0.148420005270917,NA
"49",60,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",2.709666667,NA,1.973335311,9,5.063388889,3.32300819,18,"",-0.625210373812768,0.0828568648476682
"50",61,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",0.540333333,NA,0.672535687,9,5.063388889,3.32300819,18,"",-2.23760504656358,0.196061273244677
"51",62,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",1.703222222,NA,0.927404682,9,5.063388889,3.32300819,18,"",-1.08951411831483,0.0568703372996972
"52",63,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",3.825333333,NA,2.278258491,9,5.063388889,3.32300819,18,"",-0.28039039066824,0.0633397514681436
"53",64,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",0.416777778,NA,0.216334682,9,5.063388889,3.32300819,18,"",-2.49723810573539,0.0538645506471131
"54",65,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",1.631666667,NA,1.005981237,9,5.063388889,3.32300819,18,"",-1.13243401251346,0.0661632562363285
"55",67,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",1.318375,NA,0.924975048,9,3.656444444,2.465831568,18,"",-1.02009129423427,0.0799599819859003
"56",68,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",0.245444444,NA,0.134964913,9,3.656444444,2.465831568,18,"",-2.70117586655793,0.0588623992029888
"57",69,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",0.445,NA,0.296073471,9,3.656444444,2.465831568,18,"",-2.10617220866481,0.0744514203808056
"58",70,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",3.40225,NA,3.073902673,9,3.656444444,2.465831568,18,"",-0.0720542343906235,0.115965570726962
"59",71,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",0.228555556,NA,0.14723545,9,3.656444444,2.465831568,18,"",-2.77246717656973,0.0713763718319078
"60",72,"Weigelt et al. 2005","Bielefeld, DE","Carex arenaria","perennial","monocot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",0.465111111,NA,0.359055164,9,3.656444444,2.465831568,18,"",-2.06197016540022,0.0914825215822852
"61",74,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",15.753375,NA,5.865982561,8,20.49773333,4.057559936,15,"",-0.263259682732814,0.0199441496682912
"62",75,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",4.21425,NA,2.333836924,8,20.49773333,4.057559936,15,"",-1.58184267108456,0.0409486446718699
"63",76,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",13.743,NA,3.203326084,8,20.49773333,4.057559936,15,"",-0.399784707190123,0.00940356567670485
"64",77,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",16.064875,NA,3.838282296,8,20.49773333,4.057559936,15,"",-0.243679099115421,0.00974790112414916
"65",78,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",6.70125,NA,1.098629763,8,20.49773333,4.057559936,15,"",-1.11802023460323,0.00597202805481621
"66",79,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",14.909625,NA,4.354597536,8,20.49773333,4.057559936,15,"",-0.318307333207912,0.0132751567009787
"67",81,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",11.39525,NA,2.768735129,8,12.45192308,4.419769818,13,"",-0.0886784733352622,0.0170707926691103
"68",82,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",3.694,NA,2.030795903,8,12.45192308,4.419769818,13,"",-1.21516519346232,0.0474701782654561
"69",83,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",5.802875,NA,3.250665006,8,12.45192308,4.419769818,13,"",-0.763521590845358,0.0489167807261812
"70",84,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",15.1234625,NA,4.664918419,8,12.45192308,4.419769818,13,"",0.194372270617968,0.0215844394631825
"71",85,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",3.548125,NA,2.64396955,8,12.45192308,4.419769818,13,"",-1.25545578029652,0.0791018100197841
"72",86,"Weigelt et al. 2005","Bielefeld, DE","Corynephorus canescens","perennial","monocot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",5.003625,NA,2.735942718,8,12.45192308,4.419769818,13,"",-0.911712425490812,0.0470640262670974
"73",88,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",8.797125,NA,3.722821374,8,8.963928571,3.798756365,14,"",-0.0187836239185102,0.0352137876746795
"74",89,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",1.423375,NA,0.673469681,8,8.963928571,3.798756365,14,"",-1.84017777532903,0.0408118226837993
"75",90,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Ambient","Full_Comp","Total_biomass",2.886125,NA,1.469085472,8,8.963928571,3.798756365,14,"",-1.13329381552063,0.0452152086337785
"76",91,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",8.318375,NA,2.783263395,8,8.963928571,3.798756365,14,"",-0.0747416642205128,0.0268219665838212
"77",92,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",1.6425,NA,0.542145473,8,8.963928571,3.798756365,14,"",-1.69698911610103,0.0264465258405107
"78",93,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Ambient","Root_Comp","Total_biomass",1.863875,NA,0.927725858,8,8.963928571,3.798756365,14,"",-1.57055093354873,0.0437961602306174
"79",95,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",8.140625,NA,3.149617207,8,10.16057143,3.870065329,14,"",-0.221647725285293,0.0290742477120441
"80",96,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",1.04725,NA,0.483621975,8,10.16057143,3.870065329,14,"",-2.27234700283398,0.0370203020531831
"81",97,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Stress","Full_Comp","Total_biomass",1.8835,NA,1.080187418,8,10.16057143,3.870065329,14,"",-1.68538293552903,0.0514754788770553
"82",98,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",7.5935,NA,3.035944475,8,10.16057143,3.870065329,14,"",-0.2912220654908,0.0303435213928458
"83",99,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",1.79925,NA,1.347820542,8,10.16057143,3.870065329,14,"",-1.73114477227321,0.0805067824581237
"84",100,"Weigelt et al. 2005","Bielefeld, DE","Hieracium pilosella","perennial","dicot","Outdoor","mesocosm","Stress","Root_Comp","Total_biomass",2.4065,NA,1.78169967,8,10.16057143,3.870065329,14,"",-1.44034127391796,0.0788810954196681
"85",50,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Ambient","Full_Comp","Total_biomass",6.75,NA,1.877087,12,7.29,1.877087,12,"Impute std",-0.0769610411361283,0.0119693660317023
"86",51,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Ambient","Full_Comp","Total_biomass",1.03,NA,1.877087,12,7.29,1.877087,12,"Impute std",-1.95694474377902,0.282291239436183
"87",52,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Ambient","Root_Comp","Total_biomass",3.82,NA,1.877087,12,7.29,1.877087,12,"Impute std",-0.646253123402083,0.0256465249782298
"88",53,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Ambient","Shoot_Comp","Total_biomass",1.57,NA,1.877087,12,7.29,1.877087,12,"Impute std",-1.53542792666035,0.124645981511165
"89",54,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Stress","Full_Comp","Total_biomass",2.01,NA,1.877087,12,2.01,1.877087,12,"Impute std",0,0.14535348157921
"90",56,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Stress","Full_Comp","Total_biomass",0.2,NA,1.877087,12,2.01,1.877087,12,"Impute std",-2.30757263450508,7.41320925239169
"91",57,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Stress","Root_Comp","Total_biomass",0.83,NA,1.877087,12,2.01,1.877087,12,"Impute std",-0.884464300262478,0.498894334727888
"92",58,"Wilkinson & Gross 1964","Pennsylvania, US","Trifolium repens","perennial","dicot","Greenhouse","pots","Stress","Shoot_Comp","Total_biomass",0.5,NA,1.877087,12,2.01,1.877087,12,"Impute std",-1.39128190263093,1.24716194264594
