,no_sd,focal_species,treatment_level,yes_n,no_n,organ,no_mean,treatment,invasive_species,interaction_type,yes_sd,yes_mean,study_id,native_functional_group,invasive_functional_group,latitude,longitude,collection_year
28,0.091099151,Pseudoroegneria spicata,BLP_yes_LNFK_no,10,10,RMF,0.622687419,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
29,0.10153916,Pseudoroegneria spicata,BLP_yes_MCLK_no,10,10,RMF,0.649954334,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
30,0.054043145,Pseudoroegneria spicata,BLP_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
31,0.089500546,Pseudoroegneria spicata,BLP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,control_alone,0.06208606,0.510745701,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
32,0.036001884,Pseudoroegneria spicata,HP_yes_LHK_no,10,10,RMF,0.660115977,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
33,0.082233063,Pseudoroegneria spicata,HP_yes_LNFK_no,10,10,RMF,0.692650495,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
34,0.085722219,Pseudoroegneria spicata,HP_yes_MCLK_no,10,10,RMF,0.636187143,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
35,0.051992638,Pseudoroegneria spicata,HP_yes_MMK_no,10,10,RMF,0.514171055,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
36,0.047538635,Pseudoroegneria spicata,HP_yes_PTK_no,10,10,RMF,0.665612806,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
37,0.047218033,Pseudoroegneria spicata,HP_yes_LHK_no,10,10,RMF,0.630814313,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
38,0.091099151,Pseudoroegneria spicata,HP_yes_LNFK_no,10,10,RMF,0.622687419,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
39,0.10153916,Pseudoroegneria spicata,HP_yes_MCLK_no,10,10,RMF,0.649954334,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
40,0.054043145,Pseudoroegneria spicata,HP_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
41,0.089500546,Pseudoroegneria spicata,HP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,control_alone,0.045862841,0.626666049,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
42,0.048122269,Pseudoroegneria spicata,LHK_yes_LHP_no,10,10,RMF,0.67949229,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
43,0.084166761,Pseudoroegneria spicata,LHK_yes_LHP#1_no,10,10,RMF,0.562832886,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
44,0.059174849,Pseudoroegneria spicata,LHK_yes_MCLP_no,10,10,RMF,0.629703195,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
45,0.071333855,Pseudoroegneria spicata,LHK_yes_MJP_no,10,10,RMF,0.695891386,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
46,0.059804622,Pseudoroegneria spicata,LHK_yes_MMP_no,10,10,RMF,0.674665901,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
47,0.050360825,Pseudoroegneria spicata,LHK_yes_PTP_no,10,10,RMF,0.692420782,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
48,0.083643966,Pseudoroegneria spicata,LHK_yes_LHP_no,10,10,RMF,0.677514901,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
49,0.07347452,Pseudoroegneria spicata,LHK_yes_LHP#1_no,10,10,RMF,0.524623839,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
50,0.064128957,Pseudoroegneria spicata,LHK_yes_MCLP_no,10,10,RMF,0.723041728,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
51,0.033319238,Pseudoroegneria spicata,LHK_yes_MJP_no,10,10,RMF,0.760522934,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
52,0.096277895,Pseudoroegneria spicata,LHK_yes_MMP_no,10,10,RMF,0.599649747,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
53,0.051952053,Pseudoroegneria spicata,LHK_yes_PTP_no,10,10,RMF,0.73456477,population,Centaurea stoebe,control_alone,0.036001884,0.660115977,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
54,0.082233063,Pseudoroegneria spicata,LHP_yes_LNFK_no,10,10,RMF,0.692650495,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
55,0.085722219,Pseudoroegneria spicata,LHP_yes_MCLK_no,10,10,RMF,0.636187143,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
56,0.051992638,Pseudoroegneria spicata,LHP_yes_MMK_no,10,10,RMF,0.514171055,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
57,0.047538635,Pseudoroegneria spicata,LHP_yes_PTK_no,10,10,RMF,0.665612806,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
58,0.091099151,Pseudoroegneria spicata,LHP_yes_LNFK_no,10,10,RMF,0.622687419,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
59,0.10153916,Pseudoroegneria spicata,LHP_yes_MCLK_no,10,10,RMF,0.649954334,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
60,0.054043145,Pseudoroegneria spicata,LHP_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
61,0.089500546,Pseudoroegneria spicata,LHP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,control_alone,0.048122269,0.67949229,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
62,0.082233063,Pseudoroegneria spicata,LHP#1_yes_LNFK_no,10,10,RMF,0.692650495,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
63,0.085722219,Pseudoroegneria spicata,LHP#1_yes_MCLK_no,10,10,RMF,0.636187143,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
64,0.051992638,Pseudoroegneria spicata,LHP#1_yes_MMK_no,10,10,RMF,0.514171055,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
65,0.047538635,Pseudoroegneria spicata,LHP#1_yes_PTK_no,10,10,RMF,0.665612806,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
66,0.091099151,Pseudoroegneria spicata,LHP#1_yes_LNFK_no,10,10,RMF,0.622687419,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
67,0.10153916,Pseudoroegneria spicata,LHP#1_yes_MCLK_no,10,10,RMF,0.649954334,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
68,0.054043145,Pseudoroegneria spicata,LHP#1_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
69,0.089500546,Pseudoroegneria spicata,LHP#1_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,control_alone,0.084166761,0.562832886,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
70,0.059174849,Pseudoroegneria spicata,LNFK_yes_MCLP_no,10,10,RMF,0.629703195,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
71,0.071333855,Pseudoroegneria spicata,LNFK_yes_MJP_no,10,10,RMF,0.695891386,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
72,0.059804622,Pseudoroegneria spicata,LNFK_yes_MMP_no,10,10,RMF,0.674665901,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
73,0.050360825,Pseudoroegneria spicata,LNFK_yes_PTP_no,10,10,RMF,0.692420782,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
74,0.064128957,Pseudoroegneria spicata,LNFK_yes_MCLP_no,10,10,RMF,0.723041728,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
75,0.033319238,Pseudoroegneria spicata,LNFK_yes_MJP_no,10,10,RMF,0.760522934,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
76,0.096277895,Pseudoroegneria spicata,LNFK_yes_MMP_no,10,10,RMF,0.599649747,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
77,0.051952053,Pseudoroegneria spicata,LNFK_yes_PTP_no,10,10,RMF,0.73456477,population,Centaurea stoebe,control_alone,0.082233063,0.692650495,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
78,0.059174849,Pseudoroegneria spicata,MCLK_yes_MCLP_no,10,10,RMF,0.629703195,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
79,0.071333855,Pseudoroegneria spicata,MCLK_yes_MJP_no,10,10,RMF,0.695891386,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
80,0.059804622,Pseudoroegneria spicata,MCLK_yes_MMP_no,10,10,RMF,0.674665901,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
81,0.050360825,Pseudoroegneria spicata,MCLK_yes_PTP_no,10,10,RMF,0.692420782,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
82,0.064128957,Pseudoroegneria spicata,MCLK_yes_MCLP_no,10,10,RMF,0.723041728,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
83,0.033319238,Pseudoroegneria spicata,MCLK_yes_MJP_no,10,10,RMF,0.760522934,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
84,0.096277895,Pseudoroegneria spicata,MCLK_yes_MMP_no,10,10,RMF,0.599649747,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
85,0.051952053,Pseudoroegneria spicata,MCLK_yes_PTP_no,10,10,RMF,0.73456477,population,Centaurea stoebe,control_alone,0.085722219,0.636187143,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
86,0.051992638,Pseudoroegneria spicata,MCLP_yes_MMK_no,10,10,RMF,0.514171055,population,Centaurea stoebe,control_alone,0.059174849,0.629703195,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
87,0.047538635,Pseudoroegneria spicata,MCLP_yes_PTK_no,10,10,RMF,0.665612806,population,Centaurea stoebe,control_alone,0.059174849,0.629703195,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
88,0.054043145,Pseudoroegneria spicata,MCLP_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,control_alone,0.059174849,0.629703195,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
89,0.089500546,Pseudoroegneria spicata,MCLP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,control_alone,0.059174849,0.629703195,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
90,0.051992638,Pseudoroegneria spicata,MJP_yes_MMK_no,10,10,RMF,0.514171055,population,Centaurea stoebe,control_alone,0.071333855,0.695891386,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
91,0.047538635,Pseudoroegneria spicata,MJP_yes_PTK_no,10,10,RMF,0.665612806,population,Centaurea stoebe,control_alone,0.071333855,0.695891386,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
92,0.054043145,Pseudoroegneria spicata,MJP_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,control_alone,0.071333855,0.695891386,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
93,0.089500546,Pseudoroegneria spicata,MJP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,control_alone,0.071333855,0.695891386,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
94,0.059804622,Pseudoroegneria spicata,MMK_yes_MMP_no,10,10,RMF,0.674665901,population,Centaurea stoebe,control_alone,0.051992638,0.514171055,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
95,0.050360825,Pseudoroegneria spicata,MMK_yes_PTP_no,10,10,RMF,0.692420782,population,Centaurea stoebe,control_alone,0.051992638,0.514171055,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
96,0.096277895,Pseudoroegneria spicata,MMK_yes_MMP_no,10,10,RMF,0.599649747,population,Centaurea stoebe,control_alone,0.051992638,0.514171055,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
97,0.051952053,Pseudoroegneria spicata,MMK_yes_PTP_no,10,10,RMF,0.73456477,population,Centaurea stoebe,control_alone,0.051992638,0.514171055,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
98,0.047538635,Pseudoroegneria spicata,MMP_yes_PTK_no,10,10,RMF,0.665612806,population,Centaurea stoebe,control_alone,0.059804622,0.674665901,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
99,0.089500546,Pseudoroegneria spicata,MMP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,control_alone,0.059804622,0.674665901,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
100,0.050360825,Pseudoroegneria spicata,PTK_yes_PTP_no,10,10,RMF,0.692420782,population,Centaurea stoebe,control_alone,0.047538635,0.665612806,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
101,0.051952053,Pseudoroegneria spicata,PTK_yes_PTP_no,10,10,RMF,0.73456477,population,Centaurea stoebe,control_alone,0.047538635,0.665612806,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
102,0.104000617,Pseudoroegneria spicata,BLK_yes_BLP_no,10,10,RMF,0.660386029,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
103,0.079975472,Pseudoroegneria spicata,BLK_yes_HP_no,10,10,RMF,0.618843194,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
104,0.083643966,Pseudoroegneria spicata,BLK_yes_LHP_no,10,10,RMF,0.677514901,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
105,0.07347452,Pseudoroegneria spicata,BLK_yes_LHP#1_no,10,10,RMF,0.524623839,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
106,0.064128957,Pseudoroegneria spicata,BLK_yes_MCLP_no,10,10,RMF,0.723041728,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
107,0.033319238,Pseudoroegneria spicata,BLK_yes_MJP_no,10,10,RMF,0.760522934,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
108,0.096277895,Pseudoroegneria spicata,BLK_yes_MMP_no,10,10,RMF,0.599649747,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
109,0.051952053,Pseudoroegneria spicata,BLK_yes_PTP_no,10,10,RMF,0.73456477,population,Centaurea stoebe,interaction,0.078307609,0.646357107,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
110,0.047218033,Pseudoroegneria spicata,BLP_yes_LHK_no,10,10,RMF,0.630814313,population,Centaurea stoebe,interaction,0.11501825,0.660386029,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
111,0.091099151,Pseudoroegneria spicata,BLP_yes_LNFK_no,10,10,RMF,0.622687419,population,Centaurea stoebe,interaction,0.11501825,0.660386029,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
112,0.10153916,Pseudoroegneria spicata,BLP_yes_MCLK_no,10,10,RMF,0.649954334,population,Centaurea stoebe,interaction,0.11501825,0.660386029,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
113,0.054043145,Pseudoroegneria spicata,BLP_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,interaction,0.11501825,0.660386029,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
114,0.089500546,Pseudoroegneria spicata,BLP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,interaction,0.11501825,0.660386029,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
115,0.047218033,Pseudoroegneria spicata,HP_yes_LHK_no,10,10,RMF,0.630814313,population,Centaurea stoebe,interaction,0.079975472,0.618843194,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
116,0.091099151,Pseudoroegneria spicata,HP_yes_LNFK_no,10,10,RMF,0.622687419,population,Centaurea stoebe,interaction,0.079975472,0.618843194,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
117,0.10153916,Pseudoroegneria spicata,HP_yes_MCLK_no,10,10,RMF,0.649954334,population,Centaurea stoebe,interaction,0.079975472,0.618843194,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
118,0.054043145,Pseudoroegneria spicata,HP_yes_MMK_no,10,10,RMF,0.660853955,population,Centaurea stoebe,interaction,0.079975472,0.618843194,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
119,0.089500546,Pseudoroegneria spicata,HP_yes_PTK_no,10,10,RMF,0.688980768,population,Centaurea stoebe,interaction,0.079975472,0.618843194,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
120,0.083643966,Pseudoroegneria spicata,LHK_yes_LHP_no,10,10,RMF,0.677514901,population,Centaurea stoebe,interaction,0.047218033,0.630814313,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
121,0.07347452,Pseudoroegneria spicata,LHK_yes_LHP#1_no,10,10,RMF,0.524623839,population,Centaurea stoebe,interaction,0.047218033,0.630814313,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
122,0.064128957,Pseudoroegneria spicata,LHK_yes_MCLP_no,10,10,RMF,0.723041728,population,Centaurea stoebe,interaction,0.047218033,0.630814313,Gibson et al. 2016,grass,non-leguminous forb,46.8619,113.9846,2011
